Work,Theme,Type
The Golden Ass,what if I turned into an animal,choice
The Golden Ass: Book 1,what it is like to travel,major
The Golden Ass: Book 1,the thirst for knowledge,major
The Golden Ass: Book 1,hell hath no fury like a woman scorned,minor
The Golden Ass: Book 1,speculative remote living body manipulation,minor
The Golden Ass: Book 1,witch,minor
The Golden Ass: Book 1,witchcraft,minor
The Golden Ass: Book 1,creative writing,minor
The Golden Ass: Book 1,stage magic,minor
The Golden Ass: Book 1,robbery,minor
The Golden Ass: Book 1,one night stand,minor
The Golden Ass: Book 1,romantic infidelity,minor
The Golden Ass: Book 1,crime and punishment,minor
The Golden Ass: Book 1,suicide,minor
The Golden Ass: Book 1,husband and wife,minor
The Golden Ass: Book 1,hospitality,minor
The Golden Ass: Book 1,alcohol abuse,minor
The Golden Ass: Book 1,living corpse,minor
The Golden Ass: Book 1,miserliness,minor
The Golden Ass: Book 1,black magic,minor
The Golden Ass: Book 10,bestiality,major
The Golden Ass: Book 10,brother and brother,minor
The Golden Ass: Book 10,theft,minor
The Golden Ass: Book 10,gluttony,minor
The Golden Ass: Book 10,contemplating suicide,minor
The Golden Ass: Book 10,Ancient Roman mythology,minor
The Golden Ass: Book 10,the theater,minor
The Golden Ass: Book 10,fear for one's life,minor
The Golden Ass: The Tale of the Murderous Wife,wicked stepmother stereotype,major
The Golden Ass: The Tale of the Murderous Wife,stepmother and stepson,major
The Golden Ass: The Tale of the Murderous Wife,unrequited love,major
The Golden Ass: The Tale of the Murderous Wife,coping with unwelcome romantic attention,major
The Golden Ass: The Tale of the Murderous Wife,hell hath no fury like a woman scorned,major
The Golden Ass: The Tale of the Murderous Wife,poison murder,major
The Golden Ass: The Tale of the Murderous Wife,father and son,minor
The Golden Ass: The Tale of the Murderous Wife,husband and wife,minor
The Golden Ass: The Tale of the Murderous Wife,master and slave,minor
The Golden Ass: The Tale of the Murderous Wife,mother and son,minor
The Golden Ass: The Tale of the Murderous Wife,sexual assault,minor
The Golden Ass: The Tale of the Murderous Wife,false rape accusations,minor
The Golden Ass: The Tale of the Murderous Wife,fratricide,minor
The Golden Ass: The Tale of the Murderous Wife,the desire for vengeance,minor
The Golden Ass: The Tale of the Murderous Wife,coping with the death of a child,minor
The Golden Ass: The Tale of the Murderous Wife,what if I was accused of a crime that I didn't commit,minor
The Golden Ass: The Tale of the Murderous Wife,guilt and evidence,minor
The Golden Ass: The Tale of the Murderous Wife,what it is like in a legal proceeding,minor
The Golden Ass: The Tale of the Murderous Wife,euthanasia,minor
The Golden Ass: The Tale of the Murderous Wife,coping with being tortured,minor
The Golden Ass: The Tale of the Murderous Wife,incest in society,minor
The Golden Ass: The Tale of the Murderous Wife,love triangle,minor
The Golden Ass: The Tale of the Murderous Wife,poetic justice,minor
The Golden Ass: The Tale of the Murderous Wife,medical occupation,minor
The Golden Ass: The Tale of the Murderous Wife,The Hippocratic Oath,minor
The Golden Ass: The Tale of the Murderous Wife,exile,minor
The Golden Ass: The Tale of the Jealous Wife,romantic jealousy,major
The Golden Ass: The Tale of the Jealous Wife,murder,major
The Golden Ass: The Tale of the Jealous Wife,female-female rivalry,major
The Golden Ass: The Tale of the Jealous Wife,brother and sister,minor
The Golden Ass: The Tale of the Jealous Wife,infanticide,minor
The Golden Ass: The Tale of the Jealous Wife,maternal love,minor
The Golden Ass: The Tale of the Jealous Wife,husband and wife,minor
The Golden Ass: The Tale of the Jealous Wife,coping with the death of a family member,minor
The Golden Ass: The Tale of the Jealous Wife,poison murder,minor
The Golden Ass: The Tale of the Jealous Wife,spouse murder,minor
The Golden Ass: The Tale of the Jealous Wife,greedy heir,minor
The Golden Ass: The Tale of the Jealous Wife,filicide,minor
The Golden Ass: The Tale of the Jealous Wife,capital punishment,minor
The Golden Ass: The Tale of the Jealous Wife,coping with being tortured,minor
The Golden Ass: The Tale of the Jealous Wife,mother-in-law and daughter-in-law,minor
The Golden Ass: The Tale of the Jealous Wife,incest in society,minor
The Golden Ass: The Tale of the Jealous Wife,mother and son,minor
The Golden Ass: The Tale of the Jealous Wife,mother and daughter,minor
The Golden Ass: The Tale of the Jealous Wife,extramarital affair,minor
The Golden Ass: Book 11,what if I turned into an animal,major
The Golden Ass: Book 11,what if I underwent a physical metamorphosis,major
The Golden Ass: Book 11,finding religion,major
The Golden Ass: Book 11,Ancient Egyptian mythology,minor
The Golden Ass: Book 11,religious festival,minor
The Golden Ass: Book 11,divine visitation,minor
The Golden Ass: Book 11,Ancient Roman mythology,minor
The Golden Ass: Book 11,religious occupation,minor
The Golden Ass: Book 11,miracle,minor
The Golden Ass: Book 2,witch,major
